Species,subspecies,Specimen #,Measurer,Collection,Collection Year,Collection Month,Collection Day,Country,State/province,County/District,Locality,Elevation,BL Average,BW Average,BD Average,Tarsus Average,Kipp's Average,WC Average,Tail,Age,Sex
Tyrannus verticalis,null,256819,MM,Smithsonian National Museum of Natural History,1918,4,28,United States of America,California,Los Angeles,"Fairmont, Antelope Valley",null,12.605,7.755,6.58,20.05,37.39,120.495,83.04,Adult,Female
Tyrannus caudifasciatus,gabbii,264778,MM,Smithsonian National Museum of Natural History,1927,3,31,Haiti,null,null,Fond Des Negres,null,19.465,9.71,null,21.225,22.425,100.76,82.8,Adult,Male
Tyrannus caudifasciatus,gabbii,280231,MM,Smithsonian National Museum of Natural History,1929,1,19,Haiti,null,null,Donclon,null,18.22,9.32,6.67,21.76,24.025,106.585,83.75,Adult,Male
Tyrannus verticalis,null,285928,MM,Smithsonian National Museum of Natural History,1893,4,1,United States of America,California,Riverside,Riverside,null,14.35,8.1,6.825,20.46,43.52,129.08,93.21,Adult,Female
Tyrannus verticalis,null,299648,MM,Smithsonian National Museum of Natural History,1927,4,9,null,null,null,null,null,12.905,7.69,6.5,18.475,37.37,120.045,84.76,SecondYear,Female
Tyrannus caudifasciatus,caudifasciatus,310065,MM,Smithsonian National Museum of Natural History,1930,11,21,Cuba,null,null,Santiago,null,19.35,9.305,7.385,22.78,23.99,104.36,85.48,Adult,Male
Tyrannus cubensis,null,316250,MM,Smithsonian National Museum of Natural History,1930,3,8,Cuba,null,null,"Cayo Grande De Moa, Fabrico River Mainland",null,26.38,14.38,11.63,24.505,null,null,null,Adult,Female
Tyrannus caudifasciatus,caudifasciatus,316252,MM,Smithsonian National Museum of Natural History,1930,2,21,Cuba,null,null,"Port Gibara, 4 mi E",null,19.23,9.095,null,22.745,21.37,97.99,76.54,Adult,Female
Tyrannus caudifasciatus,caudifasciatus,316253,MM,Smithsonian National Museum of Natural History,1930,2,21,Cuba,null,null,"Port Gibara, 4 mi E",null,20.355,8.985,null,22.975,22.575,102.79,86.53,Adult,Male
Tyrannus caudifasciatus,caudifasciatus,316254,MM,Smithsonian National Museum of Natural History,1930,3,2,Cuba,Holguin,null,"Port Tanamo, 0.25 mi S of Boca De Tanamo",null,19.875,null,null,23.525,22.475,104.525,80.66,Adult,Male
